S/No.,Unique Entity Number(UEN) /  GST-Registration Number,Name of Approved Person,Date of Approval,Status,context
1,200608760H,Ardentec Singapore Pte Ltd,01/08/2011,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
2,199800834K,ASE Singapore Pte Ltd,01/04/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
3,53129136K,GlaxoSmithKline Biologicals,21/11/2011,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
4,198703584K,GLOBALFOUNDRIES Singapore Pte Ltd,01/04/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
5,200203640M,Jabil Circuit (Singapore) Pte Ltd,01/09/2015,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
6,197903460H,John Wiley & Sons Singapore Pte. Ltd. (f.k.a. John Wiley & Sons (Asia) Pte Ltd),01/04/2009,ACMT LOG,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
7,199804706E,Omni All In (Singapore) Pte Ltd (f.k.a. JSI Logistics (S) Pte Ltd),01/04/2009,ACMT LOG,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
8,200614708M,Lonza Biologics Tuas Pte Ltd,01/10/2011,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
9,196700192D,Markono Print Media Pte Ltd,01/04/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
10,199403603G,Smartflex Technology Pte Ltd,15/09/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
11,199407932D,Stats Chippac Pte. Ltd. (f.k.a. Stats Chippac Ltd),01/04/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
12,199805959G,Systems on Silicon Manufacturing Company Pte Ltd,01/04/2009,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
13,201503214R (M90370157E),UTAC Headquarters Pte Ltd,01/05/2015,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
14,200201226C,GXO Logistics Asia Pacific Pte. Ltd. (f.k.a. XPO Logistics Worldwide Asia Pacific Pte. Ltd.,01/09/2015,ACMT LOG,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
15,201400907E,AbbVie Operations Singapore Pte Ltd,01/03/2019,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
16,201902568E,Vanguard International Semiconductor Singapore Pte. Ltd.,03/02/2020,ACMT CM,approved-contract-manufacturer-and-trader-(acmt)-scheme             Businesses approved under the ACMT Scheme (Active)        
