(A) If the target is a Type 1 PHE,(A) If the target is a Type 1 PHE.1,(A) If the target is a Type 1 PHE.2,(A) If the target is a Type 1 PHE.3,(A) If the target is a Type 1 PHE.4,context
,Market value of the underlying residential property owned by the target,Market value of the underlying residential property owned by the target,Market value of the underlying residential property owned by the target,ACDB is the sum of (i) & (ii),buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,Before 20 Feb 2018,From 20 Feb 2018 to 14 Feb 2023,On or after 15 Feb 2023,,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
(i),"On first $180,000","On first $180,000","On first $180,000",1% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,"On next $180,000","On next $180,000","On next $180,000",2% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,"Exceeding $360,000","On next $640,000","On next $640,000",3% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,"Exceeding $1,000,000","On next $500,000",4% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,"On next $1,500,000",5% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,"Exceeding $3,000,000",6% x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,,,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
(ii),Z%^ on the entire value,Z%^ on the entire value,,Z%^ x U/V x W,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,,,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
(B) If the target is a Type 2 PHE (or both a Type 1 and Type 2 PHE),(B) If the target is a Type 2 PHE (or both a Type 1 and Type 2 PHE),(B) If the target is a Type 2 PHE (or both a Type 1 and Type 2 PHE),(B) If the target is a Type 2 PHE (or both a Type 1 and Type 2 PHE),(B) If the target is a Type 2 PHE (or both a Type 1 and Type 2 PHE),buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,Market value of the underlying residential property owned by the target,Market value of the underlying residential property owned by the target,Market value of the underlying residential property owned by the target,ACDB is the sum of (i) & (ii),buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,Before 20 Feb 2018,From 20 Feb 2018 to 14 Feb 2023,On or after 15 Feb 2023,,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
(i),"On first $180,000","On first $180,000","On first $180,000",1% x U/V x W1 x X+1% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,"On next $180,000","On next $180,000","On next $180,000",2% x U/V x W1 x X+2% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,"Exceeding $360,000","On next $640,000","On next $640,000",3% x U/V x W1 x X+3% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,"Exceeding $1,000,000","On next $500,000",4% x U/V x W1 x X  +4% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,"On next $1,500,000",5% x U/V x W1 x X+5% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,"Exceeding $3,000,000",6% x U/V x W1 x X+6% x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
,,,,,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
(ii),Z%^ on the entire value,Z%^ on the entire value,,Z%^ x U/V x W1 x X+Z%^ x U/V x W2,buying-or-acquiring-property-holding-entities Additional Conveyance Duties for Buyers (ACDB) rates
